序号,企业名称,许可证编号,许可项目,企业住所,生产地址,社会信用代码,法人,企业负责人,质量负责人,发证机关,签发人,日常监督管理机构,日常监督管理人员,有效期至,发证日期,是否进口
1,广东天姿化妆品科技有限公司,粤妆20200022,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区均禾街清湖大塘大道11号（自主申报）,广州市白云区均禾街清湖大塘大道11号（自主申报）,91440101MA5CYUF0XX,陈飞,陈飞,高文武,广东省药品监督管理局,严振,白云区局均禾市场监管所,监管机构指定人员,2025-01-16,2021-05-17,Y
2,中基惠诚科技有限公司,辽妆20200007,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护肤清洁类）,中国（辽宁）自由贸易试验区营口市天成路13号,营口市天成路13号,91210800MA105FJ16L,鲍世武,陈明康,王颖洲,辽宁省药品监督管理局,潘勇,省药监局稽查八处,张纯勇，孙静,2025-09-15,2020-09-15,N
3,西藏珂莱蒂生物科技开发有限公司,藏妆20200001,一般液态单元（护肤水类）；膏霜乳液单元（护肤清洁类）；粉单元（散粉类）,拉萨经济技术开发区林琼岗东路7号1#工业产房301号,拉萨经济技术开发区林琼岗东路7号1#工业产房301号,91540194MA6TCDW76Y,母丹,母丹,于安敏,西藏自治区药品监督管理局,苏东辉,西藏拉萨经济技术开发区市场监督管理局,刘芳、薛小成,2025-09-14,2020-09-15,N
4,黑龙江紫禁城生物科技有限公司,黑妆20200003,一般液态单元（护肤水类）,黑龙江省牡丹江市海林市金恒城市花园17#楼7号门市,黑龙江省牡丹江市海林市西开发区新华北27委1层01,91231083MA1C0L074D,李景明,李景明,赵萌琪,黑龙江省药品监督管理局,李军,黑龙江省药品监督管理局,化妆品监管处所有人员,2025-09-14,2020-09-14,N
5,无锡市伙伴日化科技有限公司,苏妆20160085,一般液态单元（护肤水类）；膏霜乳液单元（护肤清洁类）；气雾剂及有机溶剂单元（气雾剂类）,江阴市徐霞客镇上东村上东路2号（生产场所：江阴市徐霞客镇上东村上东路6号）,江阴市徐霞客镇上东村上东路6号,91320281142263113X,孔葵生,孔葵生,黄建萍,江苏省药品监督管理局,王越,江苏省药品监督管理局（无锡检查分局）,王丹、冯佳超,2024-04-06,2020-09-11,N
6,江苏宝洁有限公司,苏妆20160037,一般液态单元（护发清洁类）,太仓市通港东路88号,太仓市通港东路88号,91320585560314411A,Matthew Stuart Price(马睿思),李志军,刘文慧,江苏省药品监督管理局,王越,江苏省药品监督管理局苏州检查分局,祝明洪、褚叶果,2021-06-16,2020-09-11,N
7,皇封参（抚松）生物科技有限公司,吉妆20160012,一般液态单元（护肤水类）；膏霜乳液单元（护肤清洁类）,吉林抚松工业园区,吉林抚松工业园区,912206216773333170,全熙根,孙业军,郭峰,吉林省药品监督管理局,郭洪志,抚松县市场监督管理局,王娜  田小玉,2022-08-28,2020-09-10,N
8,青蛙王子（福建）婴童护理用品有限公司,闽妆20180005,一般液态单元（护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）；粉单元（散粉类、浴盐类）；气雾剂及有机溶剂单元（有机溶剂类）；蜡基单元（蜡基类）,漳州市蓝田经济开发区,漳州市蓝田经济开发区,91350603MA2YM6P4X2,韩新彬,李周欣,陈敏华,福建省药品监督管理局,郑纯,漳州市龙文区市场监督管理局蓝田市场监管所,吴少舟、许志宏,2023-04-15,2020-09-08,N
9,福建金亿文化用品有限公司,闽妆20170002,粉单元（块状粉类、散粉类）；蜡基单元（蜡基类）,松溪县经济技术开发区,福建省南平市松溪县松源街道办事处经济技术开发区中天路8号,9135072459788424XQ,徐文胜,徐文胜,沈金娟,福建省药品监督管理局,郑纯,南平市松溪县市场监督管理局,林银良；陈芬丽；陈淑青,2022-01-05,2020-09-08,N
10,漳州水仙药业股份有限公司,闽妆20160014,一般液态单元（护肤水类）,福建省漳州市芗城区南山路1号,福建省漳州市芗城区南山路1号,91350600156521451Q,林燕榕,陈文献,陈振霆,福建省药品监督管理局,郑纯,芗城区西桥市场监管所,韩达源；苏维敏；陈溪河,2021-10-17,2020-09-08,N
