序号,餐厅名称,餐厅地址,详情信息
1,江宁餐厅,江宁开发区秦淮路11号欧尚超市一楼,"点唱机,礼品卡"
2,应天餐厅,应天大街866号欧尚超市1楼,"点唱机,礼品卡"
3,金轮广场,汉中路8号金轮新天地负一楼,"Wi-Fi,礼品卡"
4,正洪,中山南路79号中央商场二楼,"Wi-Fi,店内参观,礼品卡"
5,新华,新华路520号,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
6,珍珠,珠江路389号珍珠饭店一层,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
7,汉中,汉中路209号,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
8,光华,御道街113号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
9,广州,广州路104号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
10,正兴,贡院街119号,"Wi-Fi,店内参观,礼品卡"
11,热河,热河路2号,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
12,好又多,长乐路132号沃尔玛超市2楼,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
13,南京商厦,龙蟠路2号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
14,东山025-52188133（大市口东域城1楼）,东山镇土山路2号（华意泰富广场南）,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
15,黄金楼,贡院西街72-94号,"Wi-Fi,点唱机,店内参观,礼品卡"
16,润发,龙蟠中路260号,"Wi-Fi,礼品卡"
17,龙江润发,草场门大街99号金润发一楼,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
18,迈皋桥,和燕路346号（沃尔玛超市一楼）,"24小时,Wi-Fi,礼品卡"
19,太平南路,太平南路304-330号,"24小时,Wi-Fi,店内参观,礼品卡"
20,金浦,珠江镇文德路金浦假日百货一层,"24小时,Wi-Fi,点唱机,礼品卡"
21,金利,新华路138号鑫乐广场（北京华联超市旁）,"Wi-Fi,店内参观,礼品卡,生日餐会"
22,仙林文苑,仙林文苑路108号大成名店一楼,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
23,新世纪,太平南路1号,"Wi-Fi,点唱机,礼品卡"
24,瑞金餐厅-瑞金路48号,瑞金路48号,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
25,南京车站,曙光大酒店旁 龙蟠路111号（站外）,"24小时,Wi-Fi,礼品卡"
26,大桥家乐福,大桥南路7号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
27,花园,花园路17号,"24小时,Wi-Fi,点唱机,礼品卡"
28,龙津,龙津路8号金宁广场中区一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
29,胜太,将军大道9号一层（近胜太西路）,"24小时,Wi-Fi,点唱机,礼品卡"
30,长江路,1912街区长江路肯德基,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
31,南京站,龙蟠路111号南京火车站候车室3楼,"24小时,礼品卡"
32,大桥北路（025-57033696）,大桥北路48号华东茂A1栋一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
33,五洋,水西门大街159号1层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
34,虹桥,中山北路281-2号1-2层,"Wi-Fi,店内参观,礼品卡,生日餐会"
35,河西绿轴,建邺区新安江街99号,"Wi-Fi,点唱机,店内参观,礼品卡"
36,红山,和燕路252号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
37,新城市餐厅（南门星巴克旁）,草场门大街新城市广场南门一楼,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
38,安德门,地铁一号线安德门地铁站一层2号出口,"Wi-Fi,礼品卡"
39,高淳宏达,通贤街28-3号宏达大厦1-2层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
40,山西路,中山北路107号1-2层(山西路百货大楼),"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
41,天元,天元路388号义乌小商品城A区1栋一层,"24小时,Wi-Fi,点唱机,礼品卡"
42,石鼓路,石鼓路33号,"Wi-Fi,店内参观,礼品卡"
43,河西万达,建邺区万达广场步行街西北侧,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
44,紫金,铁匠营地块的君临紫金商业项目07幢一层01、02号,"24小时,Wi-Fi,店内参观,礼品卡"
45,仙林金鹰,学海路1号1层4-102商铺,"Wi-Fi,店内参观,礼品卡"
46,铁心桥（铁心桥社区卫生服务中心旁）,铁心桥大街1号（铁心桥大街春江路交叉路口）,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
47,五星年华,汉中路141-145号一层,"Wi-Fi,礼品卡"
48,绿洲梅山203道口,梅山街道203道口旁商务楼一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
49,紫峰,中山北路6号,"Wi-Fi,店内参观,礼品卡"
50,金箔,东山街道金箔路468号中国女人街A区一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
51,21世纪,江宁区天元中路苏果超市一楼肯德基,"Wi-Fi,店内参观,礼品卡,生日餐会"
52,孝陵卫地铁站,地铁2号线孝陵卫站,"Wi-Fi,店内参观,礼品卡,生日餐会"
53,尧佳路,尧化门街179号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
54,南京高铁一,高铁一店 站外 长途汽车站旁,
55,文鼎广场,科学园文鼎广场8号楼一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
56,弘阳广场,弘阳广场B2馆游乐场旁,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
57,仁恒,建邺区楠溪江东街78号,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
58,同曦万尚,江宁开发区双龙大道以东同曦万尚城,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
59,中山南路,汉中路1号东方商城1楼,"Wi-Fi,精选店,礼品卡"
60,中央门3,龙蟠路264号火车站一楼软席候车室,"精选店,礼品卡"
61,金源百货,迈皋桥栖霞大道28号万寿综合大楼一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
62,南京瞻园,瞻园路9号,"Wi-Fi,点唱机,店内参观,礼品卡"
63,通济街,通济街8号,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
64,奥体中心,建邺区乐山路180号地铁十号线奥体中心站3号出口,"Wi-Fi,点唱机,店内参观,礼品卡"
65,东城汇,文苑路与学思路交叉口仙林东城汇,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
66,华电,迈皋桥街道高家村42号3幢1-2层,"Wi-Fi,点唱机,店内参观,礼品卡"
67,水晶,大光路142号际华广场,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
68,中山门,中山陵陵园路四方城1号,"Wi-Fi,店内参观"
69,虹悦城,应天大街619号德盈广场负一层,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
70,华海,珠江路435号华海大厦,"Wi-Fi,点唱机,店内参观,礼品卡"
71,玉桥,建宁路8号,"Wi-Fi,点唱机,店内参观,礼品卡"
72,石林百货,联合村147号一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
73,大华家乐福,浦珠路、柳州南路口大华家乐福一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
74,双龙DT,宁溧公路288号麦德龙超市旁,"Wi-Fi,礼品卡"
75,金宝DT,东新南路金宝大市场,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
76,凤凰餐厅,凤凰东街150号,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
77,高淳淳溪餐厅,淳溪镇天河路西侧襟湖路北侧39号,"礼品卡,生日餐会"
78,马群,中山门大街马群地铁站1号出口外,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
79,大观餐厅,建宁路300号,"Wi-Fi,店内参观,礼品卡,生日餐会"
80,天迈餐厅,地铁2号线油坊桥站,"点唱机,礼品卡"
81,天润餐厅,柳州东路1号天润广场一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
82,河西雨润中央,建邺区江东中路237号河西中央商场一楼,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
83,南京南站二,高铁二店 站内 B1-3检票口楼上,Wi-Fi
84,河西苏宁环球,清江路99号1层,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
85,六合紫晶餐厅,雄州镇龙津路紫晶广场一区5号楼苏果超市一层,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
86,禄口机场新站楼,禄口机场T2航站楼,机场店
87,南京站北广场,火车站北广场3楼3-1-1号,礼品卡
88,天泰,秣陵街道将军大道62号,"Wi-Fi,店内参观,礼品卡,生日餐会"
89,溧水大润发（大润发1楼肯德基）,溧水区天生桥大道与致远路交汇处,"24小时,Wi-Fi,店内参观,礼品卡"
90,殷巷苏果,诚信大道与双龙大道交汇处,"Wi-Fi,点唱机,礼品卡"
91,丰盛,软件大道119号,"Wi-Fi,店内参观"
92,中山陵,中山陵步行街8-12,"Wi-Fi,点唱机,礼品卡"
93,学府,丹凤街39号,"Wi-Fi,礼品卡"
94,龙华路站,文德东路与公园北路交叉口地铁10号线2号出口,"Wi-Fi,礼品卡"
95,砂之船,江宁区秣周东路18号砂之船奥特莱斯艺术广场4B-11,
96,汤山奥莱,圣汤大道99号10号楼3栋106和107商铺,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
97,天悦城,百润路与天华西路交叉口西北角天悦城,"Wi-Fi,店内参观,礼品卡,生日餐会"
98,长兴餐厅,长兴大街515—679号金宝市场滨江商贸中心,"Wi-Fi,礼品卡,生日餐会"
99,六合时代,华欧大道8号龙湖时代广场一层,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
100,黄金海岸餐厅,金箔路999号,"Wi-Fi,点唱机,店内参观,生日餐会"
101,经贸苏果石门坎104号6-22,石门坎104号,"Wi-Fi,店内参观,生日餐会"
102,江浦大润发,新浦路126号（新浦路与康安路交汇处大润发超市一楼）,"Wi-Fi,店内参观,生日餐会"
103,柳洲东路站,3号线柳洲东路站（柳洲东路与江山路交叉口西北角）,"Wi-Fi,店内参观,生日餐会"
104,华侨城,泰山镇大桥北路1号,"Wi-Fi,店内参观,生日餐会"
105,百利广场餐厅,来凤路9号百利广场104、105、201商铺,点唱机
106,万辰餐厅,宝塔路18-11号,"24小时,Wi-Fi,店内参观,礼品卡"
107,夫子庙地铁站,地铁3号线夫子庙站3号出口,"24小时,Wi-Fi,点唱机"
108,南京铁发,高铁四店 站外 南售票大厅楼上,"Wi-Fi,点唱机"
109,常发广场,红山路88号,"Wi-Fi,点唱机"
110,麒麟BHG,麒麟街道新大街悦民路128号东方红郡商业广场,"Wi-Fi,点唱机,店内参观,生日餐会"
111,澳林购物广场,浦珠路126号,"24小时,Wi-Fi,店内参观,生日餐会"
112,移动餐车紫金号,苏宁易购总部百乐汇美食花园广场,
113,金鹰世界,应天大街888号金鹰世界三层,"店内参观,精选店"
