序号,餐厅名称,餐厅地址,详情信息
1,建湖秀夫,建湖县向阳路与秀夫路东南侧,"Wi-Fi,店内参观,礼品卡,生日餐会"
2,大丰幸福,大丰区大润发超市一楼,"24小时,Wi-Fi,店内参观,礼品卡"
3,东台红兰,盐城东台市红兰中路3号大润发一楼,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
4,盐城建中,建军路59号苏宁电器一楼,"Wi-Fi,店内参观,礼品卡"
5,盐城迎宾路,亭湖区迎宾路宝龙广场一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
6,盐城先锋,亭湖区建军西路与小海路交界处先锋国际广场商业中心大润发超市1层,"Wi-Fi,店内参观,礼品卡"
7,射阳人民路,射阳县人民路12号文峰超市一层,"24小时,Wi-Fi,店内参观,礼品卡"
8,黄海路,响水县黄海路与滨江路交界127号,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
9,盐城解放润发,盐都区解放南路239号大润发超市一楼肯德基,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
10,盐城汽车站,青年东路22号五星客运站内,"Wi-Fi,礼品卡"
11,盐阜（新华书旁）,建军中路109号,"Wi-Fi,点唱机,礼品卡"
12,东台,东台海陵南路2号国贸大厦1楼肯德基餐厅,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
13,大丰,大丰区健康东路39号一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
14,建湖,建湖县人民中路188号,"24小时,Wi-Fi,礼品卡"
15,盐城时代,建军中路59号(中茵海华广场),"Wi-Fi,店内参观,礼品卡,生日餐会"
16,射阳,射阳县振阳街1-9号,"24小时,Wi-Fi,店内参观,礼品卡"
17,阜宁,阜宁县阜城大街49号,"Wi-Fi,店内参观,礼品卡,生日餐会"
18,旺角,解放南路80号,"24小时,Wi-Fi,店内参观,礼品卡"
19,滨海,滨海县阜东中路198号,"24小时,Wi-Fi,点唱机,礼品卡"
20,盐城庆百,解放南路128号,"Wi-Fi,点唱机,店内参观,礼品卡"
21,射阳恒隆,射阳县红旗路42号恒隆广场大润发超市一楼,"Wi-Fi,礼品卡"
22,射阳龙翔,射阳县解放路与朝阳路交叉处苏果超市一楼,"Wi-Fi,店内参观,礼品卡,生日餐会"
23,盐城中南,城南新区解放路与海洋路交汇处东北角,"Wi-Fi,礼品卡"
24,阜宁益林,阜宁益林人民路叶波大润发超市一层,"Wi-Fi,店内参观,礼品卡"
25,盐城义乌城,开放大道313号,"Wi-Fi,店内参观,礼品卡"
26,滨海润发,滨海县人民路99号大润发超市一层,"Wi-Fi,礼品卡"
27,东台德润,东台市海陵北路9号101室、102室德润购物广场1层107商铺,"Wi-Fi,店内参观,礼品卡"
28,荷兰花海,新丰镇西环路（新丰商务大厦西北侧）,Wi-Fi
29,盐城新纪元,（黄海路北、开放大道西）开放大道北路103号新纪元广场6#1002室、1003室,"24小时,Wi-Fi,店内参观,生日餐会"
30,中交美庐,大丰市黄海西路南侧美庐城13号楼一层,Wi-Fi
31,盐城万达(万达广场2号门南）,西环路88号万达广场,"Wi-Fi,生日餐会"
32,建湖万彩,兴建东路800号万彩国际购物中心1楼1F06,Wi-Fi
33,荷兰花海外卖点,大丰市荷兰花海景区花房内,
34,盐城峰尚,建军东路与机场路交界处峰尚生活广场5号楼,"Wi-Fi,生日餐会"
35,盐城中南甜品站,盐都区中南城购物中心四楼铺位号L4001-1肯德基甜品站,
36,滨海港城,滨海县港城路99号欧堡利亚商业广场A一层102室103室,"Wi-Fi,点唱机"
37,盐城吾悦广场,市辖区海洋路216号新城吾悦广场1019-2、1020号商铺,"Wi-Fi,店内参观"
38,新龙广场,市辖区盐都区城南新区新都街道办事处东进村盐城新龙广场10号楼一楼10-105,Wi-Fi
39,阜宁书香大厦,阜城镇阜城大街18号书香大厦一层,Wi-Fi
40,东台悦来城,东城大道8号东台城购物公园1幢悦来城一层101室、二层201室,Wi-Fi
