序号,餐厅名称,餐厅地址,详情信息
1,新欧尚,中新大道西181号欧尚超市肯德基,"Wi-Fi,礼品卡"
2,张家港锦丰,张家港市锦丰镇锦店路1号肯德基,"24小时,Wi-Fi,礼品卡,生日餐会"
3,吴中碧波(吴中商城5A写字楼一楼),吴中经济开发区东吴南路388号,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
4,张家港塘桥,张家港塘桥镇南京路与西环路交汇处大润发卖场1层,"Wi-Fi,店内参观,礼品卡,生日餐会"
5,浒关,高新区文昌路301号浒关大润发超内一楼,"24小时,Wi-Fi,礼品卡"
6,昆山张浦,昆山市张浦新吴街148号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
7,昆山开发区,昆山市经济技术开发区前进中路237号,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
8,园区胜浦,胜浦镇兴浦街金胜路口金雅苑8号1层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
9,新苏站,苏站路27号苏州站北广场北出站口东侧B1层出租车上车点方向,"24小时,Wi-Fi,礼品卡"
10,张家港公园,张家港市沙洲西路购物公园太阳广场1层M101-M102号,"24小时,Wi-Fi,礼品卡,生日餐会"
11,园区唯亭,唯亭镇金陵西路288号1栋(65075310),"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
12,吴江鲈乡,松陵镇江兴西路469号,"24小时,Wi-Fi,礼品卡,生日餐会"
13,石路新苏,广济南路219号石路天虹商场负1楼,"Wi-Fi,店内参观,礼品卡"
14,昆山陆家镇,昆山市陆家镇友谊路118号华润万家超市一楼,"24小时,Wi-Fi,点唱机,礼品卡"
15,凤凰,凤凰街与十梓街交叉路口,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
16,吴中越溪,苏州吴中区越溪镇吴中大道1109号“南苏州生活广场”E幢B馆华润万家超市旁,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
17,园区斜塘（联丰广场65079712）,工业园区莲葑路18号联丰商业广场4幢102世纪联华卖场内,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
18,昆山千灯,昆山市千灯镇尚书路8号千灯大润发一层,"24小时,Wi-Fi,礼品卡,生日餐会"
19,吴江运东,吴江经济开发区运东大道东侧江南奥斯卡5幢1层,"24小时,Wi-Fi,店内参观,礼品卡"
20,黄埭,相城区黄埭镇康阳路西136号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
21,盛泽西环路,吴江市盛泽镇西环路西侧欧尚超一层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
22,吴江车站,吴江市经济开发区二二七省道西、学院路东侧吴江汽车站内一层,"Wi-Fi,礼品卡"
23,园区星塘街,工业园区淞江路18号欧尚商业中心1栋1层1006号,"Wi-Fi,店内参观,礼品卡,生日餐会"
24,吴中香雪海,吴中区吴中大道168号香学海购物广场一楼,"24小时,Wi-Fi,礼品卡"
25,昆山周市镇春晖路,昆山市周市镇春晖路758号望族商城一层,"24小时,Wi-Fi,店内参观,礼品卡"
26,星海街,工业园区星海街199号星海生活广场北区负一楼B115,"Wi-Fi,店内参观,礼品卡"
27,学府,高新区（科锐路东学新路南学府路北）汇金商业广场11幢,"Wi-Fi,店内参观,礼品卡"
28,广济南路,金阊区广济南路19号大润发一层,"24小时,Wi-Fi,点唱机,礼品卡"
29,吴江汾湖,吴江市汾湖镇杭州路北侧TESCO乐购超一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
30,渭塘,相城区渭塘镇渭星街288号2幢104室一层、二层，105室一层、二层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
31,相城方圆里（宝燕商城）65387782,相城区元和街道华元路918号101室一层,"24小时,Wi-Fi,店内参观,礼品卡"
32,吴中车站（苏州吴中汽车车站旁）,吴中经济开发区广建路10号苏州吴中汽车客运站一二层,"24小时,Wi-Fi,店内参观,礼品卡"
33,金港润发,张家港市金港镇黄泗浦西路1号大润发超市内肯德基餐厅,"Wi-Fi,礼品卡,生日餐会"
34,园区玲珑0512-65381762,工业园区玲珑街58号1栋101,"Wi-Fi,店内参观,礼品卡,生日餐会"
35,张家港杨舍,张家港市杨舍镇梁丰路南侧杨舍老街1#-10#（园林路、梁丰路、焦家弄、向阳弄围合区内杨舍老街商业步行街）,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
36,昆山世茂润发,昆山市前进东路南侧夏驾河东侧昆山世茂广场一层,"24小时,Wi-Fi,店内参观,礼品卡"
37,太仓港区,太仓市太仓港港口开发区龙江路东侧、映雪路北侧“太仓邻里中心”肯德基餐厅,"Wi-Fi,店内参观,礼品卡,生日餐会"
38,太仓新区东亭路,太仓市娄江路与县府街交叉口西南侧（太仓新区上海路北、东亭路东地块）万达广场,"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
39,盛泽春之声,吴江市盛泽镇北观音弄38号春之声商业广场一层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
40,阳澄湖,相城区阳澄湖中路29号中环百汇广场1-6户,"24小时,Wi-Fi,店内参观,礼品卡"
41,园区时尚（电话68323308）,工业园区唯亭镇后戴街9号（电话68323308）,"Wi-Fi,礼品卡"
42,桐泾北路,桐泾北路218号来客茂时尚生活中心一二层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
43,园区东沙湖62537349,园区东沙湖邻里中心(电话62537349),"Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
44,园区车坊,苏州工业园区普惠路1089号（星湖财富广场）2幢107-108室一二层和2幢106的二层商铺,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
45,昆山陆家乐购,昆山市陆家镇陆家浜北路东侧启发广场华润万家超市一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
46,浒关保卫路,浒墅关保卫路33、35号（华润万家购物中心）一层、二层,"24小时,Wi-Fi,点唱机,店内参观,礼品卡,生日餐会"
47,胥口帝豪,胥口镇孙武路北侧、香泾路东侧“帝豪家缘”商业一层,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
48,昆山洞庭湖路,昆山市洞庭湖路288号中航城华润万家一层,"Wi-Fi,店内参观,礼品卡,生日餐会"
49,苏站精选,苏站路27号苏州站2F层候车室2A检票口（高铁动车南京方向）,"Wi-Fi,精选店"
50,南站精选,南环东路601号二层,"Wi-Fi,精选店"
51,汽车南站精选,常熟市招商东路1号,精选店
52,昆山永盛,昆山市北门路1118号永盛广场,"24小时,Wi-Fi,礼品卡"
53,常熟虞景文华,常熟市北门大街虞景文华广场内34-35号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
54,方洲,工业园区方洲路528号方洲邻里中心,"24小时,Wi-Fi,礼品卡,生日餐会"
55,园区泾园,工业园区扬东路277号新屹大厦1幢102室一层,"Wi-Fi,礼品卡"
56,昆山朝阳（中医院斜对面）,昆山市人民南路125号,"24小时,Wi-Fi,礼品卡"
57,新华,太仓市新华西路5号,"24小时,Wi-Fi,点唱机,礼品卡,生日餐会"
58,邻里,现代大道158号新城大厦邻里中心A101,"Wi-Fi,礼品卡,生日餐会"
59,虞山,常熟市和平街2号,"24小时,Wi-Fi,店内参观,礼品卡"
60,观前新,观前街111号,"Wi-Fi,点唱机,店内参观,礼品卡"
61,三香,三香路345号,"24小时,Wi-Fi,点唱机,礼品卡"
62,威尼斯,阊胥路282-300号,"Wi-Fi,点唱机,店内参观,礼品卡"
63,昆山大润发,昆山市朝阳中路516号,"Wi-Fi,店内参观,礼品卡,生日餐会"
64,盘门百润发,解放东路13号,"24小时,Wi-Fi,店内参观,礼品卡"
65,张家港百润发,张家港市沙洲中路288号,"24小时,Wi-Fi,店内参观,礼品卡"
66,体育中心肯德基,三香路183-184号,"24小时,Wi-Fi,礼品卡"
67,常熟百润发,常熟市新颜东路1号大润发常熟店1层,"Wi-Fi,点唱机,礼品卡"
68,南环,东吴北路288号沃尔玛超市一楼,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
69,何山,滨河路1823号何山大润发一层,"24小时,Wi-Fi,礼品卡"
70,新南站,南环东路601号一层,"Wi-Fi,礼品卡"
71,昆山易莲花,长江北路128号(萧林路路口)易初莲花昆山店一层,"Wi-Fi,礼品卡,生日餐会"
72,常熟世纪,常熟市白雪路18号世纪联华卖场内,"Wi-Fi,店内参观,礼品卡,生日餐会"
73,松陵百润发,吴江市笠泽路117号恒森广场百润发,"24小时,Wi-Fi,礼品卡,生日餐会"
74,吴江永康,吴江市松陵镇永康路68号,"Wi-Fi,礼品卡"
75,木渎(香港街）,吴中区木渎镇中山西路16-12号,"24小时,Wi-Fi,点唱机,店内参观,礼品卡"
76,观中,观前街136号,"Wi-Fi,店内参观,礼品卡"
77,金港,张家港市金港镇长江中路中央广场内,"24小时,Wi-Fi,店内参观,礼品卡"
78,长安,张家港市长安路221号,"Wi-Fi,礼品卡"
79,常熟欧尚,常熟市虞山镇黄河路255号欧尚常熟店1层,"24小时,Wi-Fi,点唱机,礼品卡"
80,贵宾,干将东路888号,"24小时,Wi-Fi,店内参观,礼品卡"
81,跨塘,跨塘镇葑亭大道锦丰泰盛生活广场西区1号楼,"24小时,Wi-Fi,店内参观,礼品卡,生日餐会"
82,相城,相城经济开发区华元路99号,"24小时,Wi-Fi,店内参观,礼品卡"
83,绿宝广场,虎丘区长江路绿宝广场1楼,"24小时,Wi-Fi,礼品卡"
84,饮马桥,人民路1001号,"Wi-Fi,店内参观,礼品卡,生日餐会"
