序号,房名,位置,大小,市场价
0,中海寰宇时代,[ 大兴 瀛海 ] 地铁8号线瀛海站南200米,49-220㎡,
1,雅居乐京华雅郡,[ 大兴 亦庄 ] 四海路与合海街交叉口,80-134㎡,
2,保利建工•和悦春风,[ 大兴 庞各庄 ] 瓜乡路与永兴河交汇处,76-107㎡,
3,保利绿城·和锦诚园,[ 大兴 亦庄 ] 五环南海子公园西侧,111-171㎡,
4,路劲·御合院营销体验中心,[ 大兴 采育 ] 采凤路与育进街交叉口东北侧,89-156㎡,
5,北京logo,[ 燕郊 燕郊 ] 102国道南侧、思菩兰路西侧,38.7-73.94㎡,
6,首创远洋禧瑞天著,[ 大兴 亦庄 ] 大兴科创十一街与经海九路交汇处西南角...,89-138㎡,
7,招商·臻珑府,[ 大兴 亦庄 ] 北京市大兴亦庄经济技术开发区经海七路...,57-139㎡,
8,温泉新都孔雀城,[ 北京周边 霸州 ] 经济开发区玫瑰庄园东侧，邻近龙江道（...,80-127㎡,
9,孔雀城大湖,[ 固安 固安 ] 北京大兴野生动物园南3公里,185-230㎡,
10,八达岭孔雀城,[ 北京周边 张家口 ] 八达岭高速康庄出口（65号出口处）西南,35-179㎡,
11,中海云筑,[ 大兴 庞各庄 ] 庞各庄西1500米新国门商务区,89-266㎡,
12,融创亦庄壹号,[ 大兴 亦庄 ] 通惠干渠路与科创九街交汇处西南口（地...,74-129㎡,
13,荣盛·阿尔卡迪亚·霸州花语城,[ 北京周边 霸州 ] 霸州市城区办北杨庄村，东环路西侧,80.67-108.23㎡,
14,岩峰·云裳,[ 燕郊 燕郊 ] 海油大街鑫乐汇大酒店东侧,36-50㎡,
15,金隅金麟府,[ 大兴 亦庄 ] 河西区博兴八路与兴海一街交叉口,74-141㎡,
16,金悦郡,[ 大兴 亦庄 ] 北京市亦庄新城环景西一路与景盛南二街...,72-118㎡,
17,中海云筑·御云府,[ 大兴 庞各庄 ] 庞各庄桥西1500米,230㎡,
18,永定河孔雀城1号时区,[ 固安 固安 ] 北京大兴野生动物园向南约6公里，106国...,84000㎡,
19,住总兴创如遇品牌馆,[ 大兴 采育 ] 南北大街与育仁街交汇口,53.9-89.8㎡,
20,八达岭阿尔卡迪亚,[ 北京周边 张家口 ] 京藏高速,78-144㎡,
21,金融街武夷·融御,[ 通州 政务区 ] 北京城市副中心行政办公区西北约1700米...,72-79㎡,
22,中海无界空间系列品牌馆,[ 石景山 古城 ] 北京市石景山区古城南街及莲石路交叉口...,122-147㎡,
23,丽都悦府,[ 朝阳 望京 ] 东四环，霄云桥北500米,137-330㎡,
24,北京书院,[ 朝阳 亚奥 ] 北土城东路北京书院,67-139㎡,
25,世茂香颂,[ 香河 香河 ] 安平镇天下第一城东侧安泰北路6号,85-139㎡,
26,北京城建·府前龙樾,[ 怀柔 怀柔 ] 府前东街,105-167㎡,
27,中海空间系列品牌馆,[ 石景山 古城 ] 首钢东南区一街和首钢东南区一路交汇处...,88-167㎡,
28,国祥府品牌馆,[ 密云 密云 ] 檀西路与新北路交叉口北行约400米,75-127㎡,
29,亦庄橡树系品牌馆,[ 大兴 亦庄 ] 北京亦庄新城漷马路与兴华南街交汇处东...,78-121㎡,
30,融创北京京西长安系品牌馆,[ 石景山 古城 ] 古城南街绿地环球金融中心五号楼底商A...,125-168㎡,
31,翡翠公园,"[ 昌平 北七家 ] 七星路,近北清路",118-140㎡,
32,文安智慧新城,[ 廊坊 廊坊 ] 廊沧高速大柳河出口东行5公里文安智慧...,75-192.88㎡,
33,住总如院,[ 大兴 采育 ] 采育镇采华路南端,98-447㎡,
34,金地大湖风华,[ 房山 青龙湖 ] 大苑村收费站出口(良坨路桥)左行250米...,67-142㎡,
35,京投发展·倬郡,[ 燕郊 燕郊 ] 高横一路北侧，燕高北路东侧,57-84㎡,
36,中国中铁·诺德春风和院,[ 丰台 郭公庄 ] 白盆窑六圈路和樊羊路交汇处东南,72-147㎡,
37,新空港孔雀城天樾,[ 廊坊 廊坊 ] 广阳区北凤道与新华路交汇处东北角,115-147㎡,
38,嘉都,[ 燕郊 燕郊 ] 京平高速,66-117㎡,
39,首开保利熙悦林语,[ 大兴 旧宫 ] 大兴南五环与德贤路交叉口东南侧200米...,138-280㎡,
40,牛驼温泉孔雀城,[ 固安 固安 ] 固安温泉商务产业园区（高德搜索牛驼温...,87-212㎡,
41,丽都壹号·峯境,[ 朝阳 燕莎 ] 丽都板块,60.8-122.77㎡,
42,御东瑞璟,[ 燕郊 燕郊 ] 紫罗兰路北侧、水厂南路东侧,80-139㎡,
43,金茂保利首开•熙悦天寰,[ 丰台 长辛店 ] 丰台区西五环园博大道与北宫路交口南4...,89-138㎡,
44,中海首钢长安云尚,[ 石景山 古城 ] 北京市石景山区古城南街东侧,45-115㎡,
45,国誉府,[ 顺义 马坡 ] 顺义区马场东路与右堤路交汇处西北角,80-120㎡,
46,涿鹿孔雀城,[ 北京周边 张家口 ] 涿鹿县张家堡镇涿鹿北高速出口,85-165㎡,
47,首创住总·禧瑞金海,[ 平谷 平谷 ] 平蓟路与环镇东路交汇,87-203㎡,
48,长安九里,[ 石景山 古城 ] 石景山区长安街西延线400米,86-138㎡,
49,永定河孔雀城悦未来,[ 固安 固安 ] 南部城区滨河生态运动公园北侧固雄线与...,80-105㎡,
50,孔雀城柏悦府,[ 固安 固安 ] 固安中央公园南侧,80-125㎡,
51,华润置地幸福里系品牌馆,[ 海淀 海淀北部 ] 海淀西北旺镇永丰产业园东侧,98-165㎡,
52,北京城建世华龙樾,[ 海淀 清河 ] 京藏高速小营桥东700米,190-320㎡,
53,万科·弗农小镇,[ 密云 密云 ] 密关路密云水库南岸2公里,140-190㎡,
54,金隅上城郡,[ 昌平 北七家 ] 北亚花园东路,211-394㎡,
55,空港新都孔雀城国门壹号,[ 永清 永清 ] 廊坊市永清县永清开发区京台高速永清出...,42.19-126㎡,
56,中海甲叁號院,[ 丰台 丽泽桥 ] 西三环万寿路,150-200㎡,
57,合生长安帝景,[ 大厂 大厂 ] 夏垫板块,77.32-125.54㎡,
58,富力首开·金禧璞瑅,[ 顺义 中央别墅区 ] 北京市顺义区高白路与九厂路交叉口西,140-160㎡,
59,卓越万科翡翠山晓,[ 石景山 五里坨 ] 石景山秀府路翡翠山晓营销中心,90-480㎡,
