序号,房名,位置,大小,市场价
0,中冶盛世滨江·锦绣天玺,[ 鼓楼 龙江 ] 江边路以西3号地块（05-06）,176-380㎡,均价38854元/㎡
1,世茂璀璨江山,[ 浦口 江浦街道 ] 光固路2号,95-143㎡,均价26700元/㎡
2,新城金樾府,[ 浦口 江浦街道 ] 江北城市中心长江隧道口新浦路与康安路...,98-254㎡,均价30500元/㎡
3,雨花吾悦广场公寓,[ 雨花台 板桥 ] 新林大道以西,62-62㎡,均价15000元/㎡
4,汤山鎏园,[ 南京周边 句容 ] 沪蓉高速,60-214㎡,总价336万元/套
5,紫辉时代广场,[ 建邺 河西中部 ] 江东中路198号,62-182㎡,均价42500元/㎡
6,奥园金基天著尚居,[ 江宁 禄口 ] 云熙路99号,85-117㎡,均价19803元/㎡
7,世茂天誉,[ 建邺 河西中部 ] 江东中路与集庆门大街交界处,165-215㎡,均价49200元/㎡
8,金轮峰华,[ 秦淮 新街口 ] 东至中山路，南至龙世中心大楼，西至小...,35-53㎡,总价170万元/套起
9,保利云禧,[ 浦口 江浦街道 ] 建设路与巩固路交汇处（地铁10号线雨山...,89-247㎡,均价28120元/㎡
10,万江共和新城,[ 浦口 桥北 ] 浦珠北路139号,86-143㎡,均价22908元/㎡
11,宋都柏悦府,[ 雨花台 板桥 ] 板桥新城新湖大道与华兴大街交汇处,92-127㎡,周边均价23213元/m²
12,燕熙台,[ 栖霞 燕子矶 ] 燕子矶街道太新路与经五路交汇处,95-143㎡,最低31465元/㎡起
13,沣麟公园壹号,[ 江宁 麒麟科技园 ] 智汇路267号,70-150㎡,均价22500元/㎡
14,协众水岸风华,[ 江宁 大学城 ] 秣陵街道龙眠大道618号,43㎡,均价26660元/㎡
15,通宇林景尊园,"[ 浦口 江浦街道 ] 新浦路,近康盛路",89-120㎡,均价27300元/㎡
16,鸿信云深处,[ 江宁 上坊 ] 神凤路1169号,629.42-667㎡,均价30000元/㎡
17,山河水,[ 浦口 老山 ] 假日路8号（宁合高速汤泉镇出口）,204.81-205㎡,最低20971元/㎡起
18,中南魔力月光广场,[ 玄武 徐庄软件园 ] 仙鹤门地铁站北100米,50000㎡,均价25000元/㎡
19,恒大林溪郡,[ 江宁 禄口 ] 信诚大道以南龙川路以东地块,89-132㎡,均价18500元/㎡
20,紫东恒大文化旅游城,[ 南京周边 句容 ] 宝华山路和容城大道交叉口,82-138㎡,最低9000元/㎡起
21,卧龙湖小镇,[ 溧水 溧水 ] 卧龙湖大道1号,101-300㎡,均价12600元/㎡
22,汤山玉兰公馆,[ 江宁 汤山 ] 汤山街道上善路8号,106-129㎡,均价21340元/㎡
23,中南乐尚MALL,"[ 栖霞 马群 ] 土城头路,近天和路",35-48㎡,均价22000元/㎡
24,升龙河西公馆,"[ 建邺 河西南部 ] 江东南路,近庐山路",45-1200㎡,最低28000元/㎡起
25,南京绿地城际空间站,[ 雨花台 南京南站 ] 锦绣街,203924㎡,最低18000元/㎡起
26,保利观棠和府,[ 六合 龙池 ] 潘杨路与虎跃东路交汇处,76-120㎡,均价17500元/㎡
27,通宇林景蘭园,[ 浦口 老山 ] 七里桥北路以西，胡桥五路以南,89-120㎡,最低27436元/㎡起
28,大华锦绣华城,[ 浦口 桥北 ] 柳州南路18号,63-274㎡,均价20255元/㎡
29,中南锦苑,[ 雨花台 安德门 ] 软件大道,53-111㎡,周边均价39101元/m²
30,绿地城际空间站,[ 雨花台 南京南站 ] 雨花台区锦绣街2号绿地之窗,320000㎡,总价350万元/套起
31,恒大滨江商铺,[ 鼓楼 鼓楼滨江 ] 鼓楼滨江商务区江边路1号,620000㎡,最低18000元/㎡起
32,中南棉花塘,[ 江宁 禄口 ] 空港枢纽经济区越秀路以北，乾清路以西,40817㎡,最低18000元/㎡起
33,通宇林景紫园,[ 浦口 老山 ] 七里桥北路西2号,120㎡,周边均价28355元/m²
34,证大阅公馆,"[ 鼓楼 鼓楼滨江 ] 建宁路,近热河路",72㎡,最低36873元/㎡起
35,水沐云筑,[ 浦口 江浦街道 ] 双峰路与浦乌路交汇处,89-128㎡,均价21700元/㎡
36,金隅紫京叠院,[ 浦口 江浦街道 ] 老山南麓黄山岭路与狮山路交汇处,120-256㎡,均价30000元/㎡
37,中海龙湾U-LIVE公寓,[ 江宁 百家湖 ] 秣陵街道日新路2号,30-38㎡,均价26000元/㎡
38,银城颐居悦见山,[ 浦口 江浦街道 ] 白马路10号,89-220㎡,均价29880元/㎡
39,融汇时代中心,[ 江宁 百家湖 ] 双龙大道1704号,43.68-96.68㎡,周边均价35430元/m²
40,万象天地九悦,[ 栖霞 燕子矶 ] 燕栖路2号,98-124㎡,最低35081元/㎡起
41,北京城建西华龙樾,[ 浦口 江浦街道 ] 城樾路8号,88-250㎡,最低30160元/㎡起
42,雍宁府,[ 浦口 江浦街道 ] 建设路与雨山西路交叉口,99-142㎡,最低29056元/㎡起
43,电建地产洺悦华府,[ 雨花台 铁心桥 ] 北临宁芜公路、南至规划吴山路、东至规...,89-113㎡,均价29400元/㎡
44,江山大境,[ 浦口 江浦街道 ] 长江五桥江北浦口区浦云路和棠云路交汇...,85-302㎡,最低28907元/㎡起
45,朗诗玲珑郡,[ 江宁 上坊 ] 东山街道天环路以北、天佑路以西,88-138㎡,均价25600元/㎡
46,湖光晨樾,[ 江宁 科学园 ] 淳化街道端拱路与至道路交汇处,90-190㎡,均价23488元/㎡
